,time,unit,layers,value
6832,33.0,34,4,3.28443550364
6833,34.0,34,4,3.29772094687
6834,35.0,34,4,3.30979331702
6835,36.0,34,4,3.3207631004
6836,37.0,34,4,3.33073096215
6837,38.0,34,4,3.33978878567
6838,39.0,34,4,3.34801968794
6839,40.0,34,4,3.35549899373
6840,41.0,34,4,3.36229514935
6841,42.0,34,4,3.36847034836
6842,43.0,34,4,3.37408131139
6843,44.0,34,4,3.37918001971
6844,45.0,34,4,3.38381314157
6845,46.0,34,4,3.38802301851
6846,47.0,34,4,3.39184871095
6847,48.0,34,4,3.3953252686
6848,49.0,34,4,3.39848424153
6849,50.0,34,4,3.40135473525
6850,51.0,34,4,3.40396307798
6851,52.0,34,4,3.40633302952
6852,53.0,34,4,3.40848656885
6853,54.0,34,4,3.41044360044
6854,55.0,34,4,3.41222182092
6855,56.0,34,4,3.41383766042
6856,57.0,34,4,3.41530605219
6857,58.0,34,4,3.41664028315
6858,59.0,34,4,3.41785264067
6859,60.0,34,4,3.41895431892
6860,61.0,34,4,3.41995525241
6861,62.0,34,4,3.42086460512
6862,63.0,34,4,3.42169077215
6863,64.0,34,4,3.42244137006
6864,65.0,34,4,3.4231234706
6865,66.0,34,4,3.42374360482
6866,67.0,34,4,3.42430730044
6867,68.0,34,4,3.42481960611
6868,69.0,34,4,3.42528509961
6869,70.0,34,4,3.42570805248
6870,71.0,34,4,3.42609238018
6871,72.0,34,4,3.42644168907
6872,73.0,34,4,3.426759087
6873,74.0,34,4,3.42704737176
6874,75.0,34,4,3.42730911248
6875,76.0,34,4,3.42754678745
6876,77.0,34,4,3.42776277913
6877,78.0,34,4,3.42795937113
6878,79.0,34,4,3.42813836282
6879,80.0,34,4,3.42830112461
6880,81.0,34,4,3.42844885886
6881,82.0,34,4,3.42858281235
6882,83.0,34,4,3.4287043921
6883,84.0,34,4,3.42881486734
6884,85.0,34,4,3.42891533701
6885,86.0,34,4,3.42900656952
6886,87.0,34,4,3.42908933327
6887,88.0,34,4,3.42916437601
6888,89.0,34,4,3.4292325981
6889,90.0,34,4,3.42929485301
6890,91.0,34,4,3.42935188754
6891,92.0,34,4,3.42940393103
6892,93.0,34,4,3.42945115448
6893,94.0,34,4,3.42949365184
6894,95.0,34,4,3.4295320255
6895,96.0,34,4,3.42956681172
6896,97.0,34,4,3.4295985743
