,sample,layer,time-to-half-max (min)
965,32,6,1587.5
966,32,7,1695.0
967,32,8,2047.5
968,32,9,2185.0
969,32,10,2520.0
970,32,11,2642.5
971,32,12,2937.5
972,32,13,2975.0
973,32,14,3427.5
974,32,15,3682.5
975,32,16,3942.5
976,32,17,4107.5
977,32,18,4355.0
978,32,19,4495.0
979,32,20,4745.0
980,32,21,4892.5
981,32,22,5150.0
982,32,23,5312.5
983,32,24,5575.0
984,32,25,5785.0
985,32,26,6000.0
986,32,27,6200.0
987,32,28,6392.5
988,32,29,6580.0
989,32,30,6772.5
990,33,1,302.5
991,33,2,545.0
992,33,3,640.0
993,33,4,977.5
994,33,5,1002.5
995,33,6,1425.0
996,33,7,1542.5
997,33,8,1960.0
998,33,9,2185.0
999,33,10,2442.5
1000,33,11,2617.5
1001,33,12,2845.0
1002,33,13,3010.0
1003,33,14,3262.5
1004,33,15,3455.0
1005,33,16,3675.0
1006,33,17,3870.0
1007,33,18,4067.5
1008,33,19,4247.5
1009,33,20,4437.5
1010,33,21,4622.5
1011,33,22,4810.0
1012,33,23,5000.0
1013,33,24,5187.5
1014,33,25,5390.0
1015,33,26,5580.0
1016,33,27,5837.5
1017,33,28,5415.0
1018,33,29,6112.5
1019,33,30,10765.0
1020,34,1,305.0
1021,34,2,615.0
1022,34,3,742.5
1023,34,4,1027.5
1024,34,5,1045.0
1025,34,6,1205.0
1026,34,7,1322.5
1027,34,8,1487.5
1028,34,9,1667.5
1029,34,10,1852.5
1030,34,11,2042.5
1031,34,12,2235.0
1032,34,13,2427.5
1033,34,14,2620.0
1034,34,15,2810.0
1035,34,16,3002.5
1036,34,17,3195.0
1037,34,18,3387.5
1038,34,19,3577.5
1039,34,20,3770.0
1040,34,21,3962.5
1041,34,22,4152.5
1042,34,23,4345.0
1043,34,24,4537.5
1044,34,25,4727.5
1045,34,26,4920.0
1046,34,27,5107.5
1047,34,28,5337.5
1048,34,29,5235.0
1049,34,30,6052.5
1050,35,1,300.0
1051,35,2,565.0
1052,35,3,577.5
1053,35,4,737.5
1054,35,5,857.5
1055,35,6,1022.5
1056,35,7,1200.0
1057,35,8,1415.0
1058,35,9,1600.0
1059,35,10,1817.5
1060,35,11,2020.0
1061,35,12,2212.5
1062,35,13,2405.0
1063,35,14,2595.0
1064,35,15,2787.5
1065,35,16,2977.5
1066,35,17,3170.0
1067,35,18,3360.0
1068,35,19,3552.5
1069,35,20,3745.0
1070,35,21,3935.0
1071,35,22,4122.5
1072,35,23,4327.5
1073,35,24,4465.0
1074,35,25,2215.0
1075,35,26,5190.0
1076,35,27,7430.0
1077,35,28,6267.5
1078,35,29,1805.0
1079,35,30,1957.5
1080,36,1,317.5
1081,36,2,662.5
1082,36,3,912.5
1083,36,4,1127.5
1084,36,5,1320.0
1085,36,6,1520.0
1086,36,7,1702.5
1087,36,8,1902.5
1088,36,9,2075.0
1089,36,10,2275.0
1090,36,11,2442.5
1091,36,12,2630.0
1092,36,13,2812.5
1093,36,14,3000.0
1094,36,15,3190.0
1095,36,16,3380.0
1096,36,17,3570.0
1097,36,18,3762.5
1098,36,19,3952.5
1099,36,20,4145.0
1100,36,21,4337.5
1101,36,22,4525.0
1102,36,23,4727.5
1103,36,24,4910.0
1104,36,25,5090.0
1105,36,26,5307.5
1106,36,27,5495.0
1107,36,28,5717.5
1108,36,29,5830.0
1109,36,30,6110.0
1110,37,1,287.5
1111,37,2,585.0
1112,37,3,587.5
1113,37,4,820.0
1114,37,5,895.0
1115,37,6,1205.0
1116,37,7,1265.0
1117,37,8,1685.0
1118,37,9,1617.5
1119,37,10,1777.5
1120,37,11,1852.5
1121,37,12,1997.5
1122,37,13,2177.5
1123,37,14,2380.0
1124,37,15,2552.5
1125,37,16,2737.5
1126,37,17,2925.0
1127,37,18,3115.0
1128,37,19,3305.0
1129,37,20,3495.0
1130,37,21,3687.5
1131,37,22,3880.0
1132,37,23,4070.0
1133,37,24,4262.5
1134,37,25,4455.0
1135,37,26,4645.0
1136,37,27,4835.0
1137,37,28,5015.0
1138,37,29,5217.5
1139,37,30,5185.0
1140,38,1,297.5
1141,38,2,600.0
1142,38,3,715.0
1143,38,4,1060.0
1144,38,5,1167.5
1145,38,6,1447.5
1146,38,7,1525.0
1147,38,8,1832.5
1148,38,9,1942.5
1149,38,10,2237.5
1150,38,11,2397.5
1151,38,12,2702.5
1152,38,13,2920.0
1153,38,14,3150.0
1154,38,15,3355.0
1155,38,16,3550.0
1156,38,17,3737.5
1157,38,18,3935.0
1158,38,19,4117.5
1159,38,20,4310.0
1160,38,21,4490.0
1161,38,22,4677.5
1162,38,23,4867.5
1163,38,24,5057.5
1164,38,25,5250.0
1165,38,26,5430.0
1166,38,27,5640.0
1167,38,28,5627.5
1168,38,29,6265.0
1169,38,30,6485.0
1170,39,1,242.5
1171,39,2,695.0
1172,39,3,885.0
1173,39,4,1190.0
1174,39,5,1235.0
1175,39,6,1642.5
1176,39,7,1710.0
1177,39,8,2152.5
1178,39,9,2355.0
1179,39,10,2662.5
1180,39,11,2825.0
1181,39,12,3137.5
1182,39,13,3387.5
1183,39,14,3577.5
1184,39,15,3767.5
1185,39,16,3957.5
1186,39,17,4147.5
1187,39,18,4337.5
1188,39,19,4527.5
1189,39,20,4717.5
1190,39,21,4907.5
1191,39,22,5097.5
1192,39,23,5290.0
1193,39,24,5480.0
1194,39,25,5670.0
1195,39,26,5862.5
1196,39,27,6047.5
1197,39,28,6235.0
1198,39,29,6460.0
1199,39,30,6715.0
1200,40,1,300.0
1201,40,2,580.0
1202,40,3,577.5
1203,40,4,745.0
1204,40,5,840.0
1205,40,6,990.0
1206,40,7,1170.0
1207,40,8,1362.5
1208,40,9,1545.0
1209,40,10,1735.0
1210,40,11,1925.0
1211,40,12,2115.0
1212,40,13,2307.5
1213,40,14,2497.5
1214,40,15,2690.0
1215,40,16,2882.5
1216,40,17,3072.5
1217,40,18,3252.5
1218,40,19,3447.5
1219,40,20,3695.0
1220,40,21,3740.0
1221,40,22,4325.0
1222,40,23,4395.0
1223,40,24,5475.0
1224,40,25,7445.0
1225,40,26,7197.5
1226,40,27,3680.0
1227,40,28,3117.5
1228,40,29,2965.0
1229,40,30,2700.0
1230,41,1,250.0
1231,41,2,587.5
1232,41,3,705.0
1233,41,4,1157.5
1234,41,5,1452.5
1235,41,6,1660.0
1236,41,7,1840.0
1237,41,8,2052.5
1238,41,9,2227.5
1239,41,10,2447.5
1240,41,11,2647.5
1241,41,12,2847.5
1242,41,13,3040.0
1243,41,14,3232.5
1244,41,15,3422.5
1245,41,16,3612.5
1246,41,17,3802.5
1247,41,18,3992.5
1248,41,19,4182.5
1249,41,20,4372.5
1250,41,21,4562.5
1251,41,22,4755.0
1252,41,23,4945.0
1253,41,24,5135.0
