,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
1772.5,6365.78952071,1986.80344198,11005.4669666,3686.33052172,8766.45543928
1775.0,6365.85013713,1986.4306908,11008.679301,3682.84107174,8776.00577133
1777.5,6365.91015714,1986.06130863,11011.8692092,3679.37448867,8785.51918389
1780.0,6365.96958654,1985.69526541,11015.0368312,3675.93061888,8794.99575658
1782.5,6366.02843109,1985.33253135,11018.1823061,3672.50930515,8804.43552899
1785.0,6366.08669652,1984.97307667,11021.3057726,3669.11038634,8813.83854192
1787.5,6366.14438851,1984.61687187,11024.4073683,3665.73369697,8823.20483817
1790.0,6366.20151273,1984.26388789,11027.48723,3662.3790965,8832.53446257
1792.5,6366.2580748,1983.91409592,11030.5454938,3659.04650392,8841.82746197
1795.0,6366.31408034,1983.56746741,11033.5822951,3655.73579495,8851.08388524
1797.5,6366.36953489,1983.22397411,11036.5977681,3652.44684708,8860.30378327
1800.0,6366.42444402,1982.88358798,11039.5920468,3649.1795424,8869.48720896
1802.5,6366.47881322,1982.54628128,11042.5652638,3645.93376797,8878.63421725
1805.0,6366.53264801,1982.21202649,11045.5175512,3642.70941619,8887.74486509
1807.5,6366.58595384,1981.88079637,11048.4490403,3639.50638514,8896.81921016
1810.0,6366.63873615,1981.55256391,11051.3598673,3636.32453983,8905.85724921
1812.5,6366.69100038,1981.22730233,11054.2501718,3633.16370117,8914.85899266
1815.0,6366.74275193,1980.9049851,11057.1200846,3630.0237319,8923.82448106
1817.5,6366.79399617,1980.58558585,11059.969736,3626.90449259,8932.75375526
1820.0,6366.84473848,1980.26907834,11062.7992553,3623.80584066,8941.64685641
1822.5,6366.8949842,1979.95543663,11065.608771,3620.72763,8950.503826
1825.0,6366.94473867,1979.64463504,11068.3984113,3617.66971064,8959.3247058
1827.5,6366.9940072,1979.33664806,11071.1683032,3614.63192832,8968.10953793
1830.0,6367.04279512,1979.03145042,11073.9185735,3611.61417414,8976.8583648
