time (min),induction layer,Strain 6059,Strain 6325,Strain 6326,Strain 6327
8609.5,3758.22227998,2759.27982796,8267.26608475,5337.01139519,7352.86648973
8609.75,3758.22227963,2759.27983203,8267.26608388,5337.01140227,7352.86648978
8610.0,3758.22227929,2759.2798361,8267.26608302,5337.01140899,7352.86648982
8610.25,3758.22227894,2759.27984017,8267.26608216,5337.01141532,7352.86648987
8610.5,3758.2222786,2759.27984424,8267.2660813,5337.01142127,7352.86648991
8610.75,3758.22227825,2759.27984832,8267.26608043,5337.01142683,7352.86648996
8611.0,3758.22227791,2759.27985241,8267.26607957,5337.01143199,7352.86649
8611.25,3758.22227757,2759.27985649,8267.26607871,5337.01143673,7352.86649005
8611.5,3758.22227722,2759.27986058,8267.26607785,5337.01144106,7352.86649009
8611.75,3758.22227688,2759.27986467,8267.26607698,5337.01144495,7352.86649014
8612.0,3758.22227653,2759.27986876,8267.26607612,5337.01144841,7352.86649018
8612.25,3758.22227619,2759.27987286,8267.26607526,5337.01145142,7352.86649023
8612.5,3758.22227584,2759.27987695,8267.2660744,5337.01145397,7352.86649027
8612.75,3758.2222755,2759.27988105,8267.26607354,5337.01145606,7352.86649032
8613.0,3758.22227515,2759.27988516,8267.26607267,5337.01145767,7352.86649036
8613.25,3758.22227481,2759.27988926,8267.26607181,5337.0114588,7352.86649041
8613.5,3758.22227447,2759.27989337,8267.26607095,5337.01145943,7352.86649045
8613.75,3758.22227412,2759.27989748,8267.26607009,5337.01145957,7352.8664905
8614.0,3758.22227378,2759.27990159,8267.26606922,5337.01145919,7352.86649054
8614.25,3758.22227343,2759.2799057,8267.26606836,5337.01145828,7352.86649059
8614.5,3758.22227309,2759.27990981,8267.2660675,5337.01145685,7352.86649063
8614.75,3758.22227274,2759.27991393,8267.26606664,5337.01145487,7352.86649068
8615.0,3758.2222724,2759.27991805,8267.26606577,5337.01145234,7352.86649072
8615.25,3758.22227205,2759.27992217,8267.26606491,5337.01144926,7352.86649077
8615.5,3758.22227171,2759.27992629,8267.26606405,5337.0114456,7352.86649081
8615.75,3758.22227137,2759.27993041,8267.26606319,5337.01144136,7352.86649086
8616.0,3758.22227102,2759.27993454,8267.26606233,5337.01143653,7352.8664909
8616.25,3758.22227068,2759.27993866,8267.26606146,5337.01143109,7352.86649095
8616.5,3758.22227033,2759.27994279,8267.2660606,5337.01142505,7352.86649099
8616.75,3758.22226999,2759.27994692,8267.26605974,5337.01141839,7352.86649104
8617.0,3758.22226964,2759.27995105,8267.26605888,5337.01141109,7352.86649108
8617.25,3758.2222693,2759.27995518,8267.26605801,5337.01140316,7352.86649113
8617.5,3758.22226895,2759.27995931,8267.26605715,5337.01139457,7352.86649117
8617.75,3758.22226861,2759.27996345,8267.26605629,5337.01138532,7352.86649122
8618.0,3758.22226827,2759.27996758,8267.26605543,5337.01137539,7352.86649126
8618.25,3758.22226792,2759.27997171,8267.26605456,5337.01136479,7352.86649131
8618.5,3758.22226758,2759.27997585,8267.2660537,5337.01135349,7352.86649135
8618.75,3758.22226723,2759.27997999,8267.26605284,5337.01134148,7352.8664914
8619.0,3758.22226689,2759.27998412,8267.26605198,5337.01132876,7352.86649144
8619.25,3758.22226654,2759.27998826,8267.26605112,5337.01131532,7352.86649149
8619.5,3758.2222662,2759.2799924,8267.26605025,5337.01130114,7352.86649154
8619.75,3758.22226586,2759.27999653,8267.26604939,5337.01128625,7352.86649158
8620.0,3758.22226551,2759.28000067,8267.26604853,5337.0112711,7352.86649163
8620.25,3758.22226517,2759.28000481,8267.26604767,5337.0112558,7352.86649167
8620.5,3758.22226482,2759.28000895,8267.2660468,5337.01124036,7352.86649172
8620.75,3758.22226448,2759.28001309,8267.26604594,5337.01122479,7352.86649176
8621.0,3758.22226413,2759.28001723,8267.26604508,5337.01120909,7352.86649181
8621.25,3758.22226379,2759.28002136,8267.26604422,5337.01119325,7352.86649185
8621.5,3758.22226344,2759.2800255,8267.26604335,5337.0111773,7352.8664919
8621.75,3758.2222631,2759.28002964,8267.26604249,5337.01116122,7352.86649194
8622.0,3758.22226276,2759.28003378,8267.26604163,5337.01114503,7352.86649199
8622.25,3758.22226241,2759.28003791,8267.26604077,5337.01112872,7352.86649203
8622.5,3758.22226207,2759.28004205,8267.26603991,5337.01111231,7352.86649208
8622.75,3758.22226172,2759.28004619,8267.26603904,5337.01109579,7352.86649212
8623.0,3758.22226138,2759.28005032,8267.26603818,5337.01107918,7352.86649217
8623.25,3758.22226103,2759.28005446,8267.26603756,5337.01106248,7352.86649221
8623.5,3758.22226069,2759.28005859,8267.26603714,5337.01104568,7352.86649226
8623.75,3758.22226034,2759.28006272,8267.26603672,5337.0110288,7352.8664923
8624.0,3758.22226,2759.28006685,8267.26603631,5337.01101184,7352.86649235
